,,,MIN,MAX,AVG
sort3_ w: 1 o: 1800 n: 20 ,109,,,,
sort3_ w: 1 o: 2000 n: 20 ,97,,,,
,,,,,
sort3_ w: 2 o: 0 n: 20 ,151,,151,205,173.9
sort3_ w: 2 o: 200 n: 20 ,174,,,,
sort3_ w: 2 o: 400 n: 20 ,205,,,,
sort3_ w: 2 o: 800 n: 20 ,171,,,,
sort3_ w: 2 o: 1000 n: 20 ,175,,,,
sort3_ w: 2 o: 1200 n: 20 ,162,,,,
sort3_ w: 2 o: 1400 n: 20 ,186,,,,
sort3_ w: 2 o: 1600 n: 20 ,178,,,,
sort3_ w: 2 o: 1800 n: 20 ,175,,,,
sort3_ w: 2 o: 2000 n: 20 ,162,,,,
,,,,,
sort3_ w: 5 o: 0 n: 20 ,340,,340,465,398.5
sort3_ w: 5 o: 200 n: 20 ,410,,,,
sort3_ w: 5 o: 400 n: 20 ,465,,,,
sort3_ w: 5 o: 800 n: 20 ,385,,,,
sort3_ w: 5 o: 1000 n: 20 ,399,,,,
sort3_ w: 5 o: 1200 n: 20 ,366,,,,
sort3_ w: 5 o: 1400 n: 20 ,429,,,,
sort3_ w: 5 o: 1600 n: 20 ,399,,,,
sort3_ w: 5 o: 1800 n: 20 ,421,,,,
sort3_ w: 5 o: 2000 n: 20 ,371,,,,
,,,,,
,,,,,
sort3_ w: 1 o: 0 n: 30 ,163,,148,213,183.4
sort3_ w: 1 o: 200 n: 30 ,148,,,,
sort3_ w: 1 o: 400 n: 30 ,187,,,,
sort3_ w: 1 o: 800 n: 30 ,213,,,,
sort3_ w: 1 o: 1000 n: 30 ,178,,,,
sort3_ w: 1 o: 1200 n: 30 ,204,,,,
sort3_ w: 1 o: 1400 n: 30 ,185,,,,
sort3_ w: 1 o: 1600 n: 30 ,196,,,,
sort3_ w: 1 o: 1800 n: 30 ,169,,,,
sort3_ w: 1 o: 2000 n: 30 ,191,,,,
,,,,,
sort3_ w: 2 o: 0 n: 30 ,266,,248,359,302.9
sort3_ w: 2 o: 200 n: 30 ,248,,,,
sort3_ w: 2 o: 400 n: 30 ,317,,,,
sort3_ w: 2 o: 800 n: 30 ,359,,,,
sort3_ w: 2 o: 1000 n: 30 ,290,,,,
sort3_ w: 2 o: 1200 n: 30 ,328,,,,
sort3_ w: 2 o: 1400 n: 30 ,313,,,,
sort3_ w: 2 o: 1600 n: 30 ,342,,,,
sort3_ w: 2 o: 1800 n: 30 ,267,,,,
sort3_ w: 2 o: 2000 n: 30 ,299,,,,
,,,,,
sort3_ w: 5 o: 0 n: 30 ,612,,554,830,689.5
sort3_ w: 5 o: 200 n: 30 ,554,,,,
sort3_ w: 5 o: 400 n: 30 ,722,,,,
sort3_ w: 5 o: 800 n: 30 ,830,,,,
sort3_ w: 5 o: 1000 n: 30 ,642,,,,
sort3_ w: 5 o: 1200 n: 30 ,756,,,,
sort3_ w: 5 o: 1400 n: 30 ,712,,,,
sort3_ w: 5 o: 1600 n: 30 ,775,,,,
sort3_ w: 5 o: 1800 n: 30 ,619,,,,
sort3_ w: 5 o: 2000 n: 30 ,673,,,,
,,,,,
,,,,,
sort3_ w: 1 o: 0 n: 40 ,346,,250,370,306.7
sort3_ w: 1 o: 200 n: 40 ,318,,,,
sort3_ w: 1 o: 400 n: 40 ,284,,,,
sort3_ w: 1 o: 800 n: 40 ,370,,,,
sort3_ w: 1 o: 1000 n: 40 ,250,,,,
sort3_ w: 1 o: 1200 n: 40 ,302,,,,
sort3_ w: 1 o: 1400 n: 40 ,277,,,,
sort3_ w: 1 o: 1600 n: 40 ,365,,,,
sort3_ w: 1 o: 1800 n: 40 ,293,,,,
sort3_ w: 1 o: 2000 n: 40 ,262,,,,
,,,,,
sort3_ w: 2 o: 0 n: 40 ,557,,379,598,501.1
sort3_ w: 2 o: 200 n: 40 ,543,,,,
sort3_ w: 2 o: 400 n: 40 ,478,,,,
sort3_ w: 2 o: 800 n: 40 ,598,,,,
sort3_ w: 2 o: 1000 n: 40 ,379,,,,
sort3_ w: 2 o: 1200 n: 40 ,486,,,,
sort3_ w: 2 o: 1400 n: 40 ,442,,,,
sort3_ w: 2 o: 1600 n: 40 ,591,,,,
sort3_ w: 2 o: 1800 n: 40 ,506,,,,
sort3_ w: 2 o: 2000 n: 40 ,431,,,,
,,,,,
sort3_ w: 5 o: 0 n: 40 ,1234,,960,1395,1143.7
sort3_ w: 5 o: 200 n: 40 ,1251,,,,
sort3_ w: 5 o: 400 n: 40 ,1076,,,,
sort3_ w: 5 o: 800 n: 40 ,1395,,,,
sort3_ w: 5 o: 1000 n: 40 ,974,,,,
sort3_ w: 5 o: 1200 n: 40 ,1099,,,,
